parent_asin,title,average_rating,rating_number,features,description,store,price,images
B08LYT4Q2X,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",4.5,167,,,Shiny Leaf,,https://m.media-amazon.com/images/I/51EnPDcnK4L.jpg|https://m.media-amazon.com/images/I/51WeEI2M-IL.jpg|https://m.media-amazon.com/images/I/51jAPuIWg9L.jpg|https://m.media-amazon.com/images/I/51Uh+Lo8lFL.jpg|https://m.media-amazon.com/images/I/51em9CxX7-L.jpg|https://m.media-amazon.com/images/I/41THe8eHgFL.jpg|https://m.media-amazon.com/images/I/51vXxl+tCrL.jpg|https://m.media-amazon.com/images/I/51MV90K6wTL.jpg|https://m.media-amazon.com/images/I/51haa9MEVPL.jpg
B089CSF11Y,"Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings",3.7,53,,,Cherry,,https://m.media-amazon.com/images/I/41gYFHrqp2L.jpg|https://m.media-amazon.com/images/I/51B6iOhoyzL.jpg|https://m.media-amazon.com/images/I/51Wno6qyoeL.jpg|https://m.media-amazon.com/images/I/51HJwtFX7RL.jpg|https://m.media-amazon.com/images/I/51TAncklhwL.jpg|https://m.media-amazon.com/images/I/51J186wJ1rL.jpg|https://m.media-amazon.com/images/I/31P3esCAGwL.jpg|https://m.media-amazon.com/images/I/31MCSc7cH7L.jpg
B081ZN3TD5,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,4.1,58,,,JPNK,,https://m.media-amazon.com/images/I/51k5fHmCzlL.jpg|https://m.media-amazon.com/images/I/51atkcJ+rCL.jpg|https://m.media-amazon.com/images/I/51uUB-UyZxL.jpg|https://m.media-amazon.com/images/I/41o4I2VPOwL.jpg|https://m.media-amazon.com/images/I/51WEVRCfzDL.jpg|https://m.media-amazon.com/images/I/512ygG5APTL.jpg|https://m.media-amazon.com/images/I/41iI97WuqPL.jpg|https://m.media-amazon.com/images/I/51gZg837boL.jpg
B08WF29DM9,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",4.7,149,,,TULA,,https://m.media-amazon.com/images/I/31YBvSrHx1S.jpg|https://m.media-amazon.com/images/I/31SKCwtvaDS.jpg|https://m.media-amazon.com/images/I/21ptfvvexzS.jpg|https://m.media-amazon.com/images/I/31cRZhhEkPS.jpg|https://m.media-amazon.com/images/I/418i178uduS.jpg|https://m.media-amazon.com/images/I/41IbKWmTBRS.jpg
B08HMLXW65,"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",4.4,122,,,IKOCO,,https://m.media-amazon.com/images/I/51ifQCm6WjL.jpg|https://m.media-amazon.com/images/I/41Cu3G57KML.jpg|https://m.media-amazon.com/images/I/51gddl4d3RL.jpg|https://m.media-amazon.com/images/I/51J9YGGF3+L.jpg|https://m.media-amazon.com/images/I/41kMYISdkfL.jpg|https://m.media-amazon.com/images/I/51Zw2vwNgnL.jpg|https://m.media-amazon.com/images/I/41hkG-nMLhL.jpg
B08BF4BKKM,"Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)",4.5,26,,,Golden Gift Box,,https://m.media-amazon.com/images/I/51L4Zn86bgL.jpg|https://m.media-amazon.com/images/I/41XtzN5+6YL.jpg|https://m.media-amazon.com/images/I/31oPDhmcqlL.jpg|https://m.media-amazon.com/images/I/41pcbsWHokL.jpg|https://m.media-amazon.com/images/I/4103sjw0jdL.jpg|https://m.media-amazon.com/images/I/319qO4UTwLL.jpg
B09KX5N1DR,100% PURE Coconut Body Scrub Exfoliating Deep Cleanse with Sea Salts & Nourishing Oils - Natural Deeply Moisturizing Skincare - Vibrant Radiant Skin Restore & Pore Cleanser - Vegan - 10oz,3.8,25,"BUFF OUT THE ROUGH SPOTS - Skin-quenching bath and shower rub scrubs away flakes, bumps, and dry patches everywhere from hand, foot to bum revealing a radiant, deeply nourished bod.|RESTORE THAT YOUTHFUL GLOW - Detoxifying crystals gently exfoliate with fatty acids and vitamin E to help protect skin from free radical damage and jojoba to soothe dryness and chafing for smooth, comfortable, super soft skin.|MIND-BENDING DETOXIFICATION - Your skin deals with a lot day to day causing it to lose its luster; let sea salt and coconut transport your skin and senses to a tropical island of full-body rejuvenation where softer, healthier-looking skin lives.|GIVE YOUR SKIN SOME LOVE - Stimulate and remove the buildup of dead skin cells, and prep skin to better absorb moisture from creams and lotions with a non-greasy moisturizing plant-based and antioxidant blend.|BEAUTY DOESN'T GET ANY CLEANER - You don't have to choose health or beauty, have both. With well-researched healthy, natural, and organic ingredients and strict purity standards, we bring cruelty-free products from ethically sourced ingredients without harsh toxic chemicals, heavy metals, or dyes. Gluten-free, vegan, and Made in the USA.","Crystalline sea salt scrub smoothes while softening skin with rich, supple moisture. Suspended in a base of silky sunflower and apricot oils, this emollient sea salt scrub buffs away bumps and flakes to reveal glowing, rejuvenated skin.",100% PURE,38.0,https://m.media-amazon.com/images/I/215-1+M2iEL.jpg|https://m.media-amazon.com/images/I/41S99yMC16L.jpg|https://m.media-amazon.com/images/I/41ZE4FUKXzL.jpg|https://m.media-amazon.com/images/I/41UUCo14CeL.jpg|https://m.media-amazon.com/images/I/41v0gGGhTPL.jpg|https://m.media-amazon.com/images/I/41zq0SS3vEL.jpg|https://m.media-amazon.com/images/I/41yMgBtMGjL.jpg
B09GNXK3N1,"Reusable Shower Cap for Women – Leakproof, Nonslip Hair Cap for Shower w/ Comfy Flexiband – Soft, Breathable Shower Caps for Women Reusable Waterproof – Durable, Heavy Duty Shower Cap by SMPL OBJECTS (Marble)",4.5,1210,"DON’T RISK RUINING YOUR HAIRSTYLE with LEAKY plastic hair caps that DON’T FIT. The SMPL OBJECTS Shower Cap is uniquely designed with our LEAKPROOF, nonslip silicone Forehead Strip, keeping your waterproof shower cap SECURELY IN PLACE without leaving creases. Made to fit head sizes up to a 24” circumference, this hair shower cap features our elastic Flexiband for THE PERFECT COMFY FIT.|THE AVERAGE SHOWER HAIR CAP is poorly made with flimsy materials, FALLING APART after a few uses. Crafted out of DURABLE, 100% waterproof polyester with a LIGHTWEIGHT, BREATHABLE feel, our washable shower cap is SOFT TO THE TOUCH and resistant to wrinkling & tearing. So you can count on it for LONG-LASTING PROTECTION against moisture – and say buh-bye to the WASTEFUL CYCLE of plastic hair caps.|MAKE EVERY SHOWER A LUXURY – Our quality-made womens shower caps help MAINTAIN YOUR BLOWOUT, natural curls, or whatever hairstyle you rock by LOCKING OUT MOISTURE in the shower. Not only will your follicles benefit from LESS FREQUENT WASHINGS, our shower bonnet will also eliminate the EXTRA TOUCH-UPS you would normally have to do post-shower – SAVING TIME, and saving your mane from EXCESS HEAT.|THE ULTIMATE BEAUTY GIFT – in a CHIC, CHARMING PACKAGE. In your choice of 5 VIBRANT PATTERNS, this shower cap for long hair, medium hair, and short hair has a gorgeous retro look that’s SLEEK & STREAMLINED compared to other bulky hair caps for women. Our head cap bonnets make perfect STOCKING STUFFERS, White Elephant gifts, birthday gifts for Mom, or centerpieces for a luxurious SPA GIFT BASKET!|At SMPL OBJECTS, we believe self-care is essential to your wellness and beauty – inside and out. As a woman-owned, woman-operated business based in Toronto, we make our reusable shower caps with only the best materials and craftsmanship. Your satisfaction is our top priority. If you don’t love your adult shower cap, our team is standing by to help.FRIENDLY: Go green with this washable, reusable shower cap that helps protect the environment.",,SMPL objects,19.99,https://m.media-amazon.com/images/I/51nDvSc1SdL.jpg|https://m.media-amazon.com/images/I/51qzIVl5-dL.jpg|https://m.media-amazon.com/images/I/519FGPwCIkL.jpg|https://m.media-amazon.com/images/I/51Slgc0sswL.jpg|https://m.media-amazon.com/images/I/41zI2HN1JOL.jpg|https://m.media-amazon.com/images/I/41y-pTbW7iL.jpg
B08JCX3DL7,"Pippa Of London Magic Star Eyeshadow Powder Pencil, Long Lasting, Blendable Eye Make Up Stick",4.0,259,"THE FIRST EYESHADOW POWDER IN A PENCIL –  pressed under high pressure into an innovative eye pencil that goes on like a dream to give you intense velvety colour and highlighter that’s easy to blend and doesn’t smudge or crease|INTENSE COLOUR TO USE WET OR DRY –  a world class formulation, expertly made with intense pigments for super wearable, vibrant, no fade colour that lasts all day|EASY TO SHARPEN – the pencil sharpens quickly and easily without clogging up your sharpener, to give you fresh eye shadow powder whenever you need it|CRUELTY FREE- All Pippa of London’s cosmetics are made to the highest standards of quality using the finest ingredients and are never, ever tested on anim|GENUINE PIPPA OF LONDON PRODUCT – the word-of-mouth cult brand of affordable make up born out of the creative energy and diverse cultures of 21st Century London and loved all over the world",,Pippa Of London,20.0,https://m.media-amazon.com/images/I/31LRIsi6HxL.jpg|https://m.media-amazon.com/images/I/51dqOkvQDEL.jpg|https://m.media-amazon.com/images/I/51VAyr-nQ+L.jpg|https://m.media-amazon.com/images/I/41p0t8a054L.jpg|https://m.media-amazon.com/images/I/513-LqUnzKL.jpg|https://m.media-amazon.com/images/I/41rjOdgo2wL.jpg
B08SQ31H8P,"5-Pack Hair Scalp scrubber Massager Shampoo Brush for Straight Curly Long Short Thick Thin Wet Dry Hair, Men Women Kids Scalp Care Hair Cleaning Shower, Scalp Care Brush,100% comfortable",4.3,40,,,Teqifu,,https://m.media-amazon.com/images/I/41EyNlhyNoL.jpg|https://m.media-amazon.com/images/I/51z6UJ7f8QL.jpg|https://m.media-amazon.com/images/I/41aE713wJAL.jpg|https://m.media-amazon.com/images/I/517FRxs5uEL.jpg|https://m.media-amazon.com/images/I/51NaTXTPWjL.jpg|https://m.media-amazon.com/images/I/51V6PtFVyoL.jpg|https://m.media-amazon.com/images/I/514zYAq3zPL.jpg
B08C24Q6LB,"JDO Eyelash Curler and 4D Silk Fiber Lash Mascara Value Set-Lash Curler with Refill Pads for No Pinching or Pulling, Mascara Natural Thickening- Long Lasting Waterproof & Smudge-Proof",3.9,64,,,JDO,,https://m.media-amazon.com/images/I/51jhPPdeZNL.jpg|https://m.media-amazon.com/images/I/51qHNiqH-6L.jpg|https://m.media-amazon.com/images/I/515C65UhAeL.jpg|https://m.media-amazon.com/images/I/41JTnUFp9IL.jpg|https://m.media-amazon.com/images/I/51f0kO-AFNL.jpg|https://m.media-amazon.com/images/I/51sSeXtIZVL.jpg|https://m.media-amazon.com/images/I/51yLVs69ccL.jpg
B07SW7D6ZR,"Kale Firm & Smooth Body Lotion - Superfood Infused Firming Body Lotion with Kale. 6.8 fl.oz, Anti-Aging Moisturizing Lotion For All Skin Types",3.9,51,,,Cancun Collection,,https://m.media-amazon.com/images/I/31JTx8roWoL.jpg|https://m.media-amazon.com/images/I/51AhaGwpvuL.jpg|https://m.media-amazon.com/images/I/61pl7dSIxWL.jpg|https://m.media-amazon.com/images/I/511wRjVdjUL.jpg|https://m.media-amazon.com/images/I/61BWZBI4T7L.jpg|https://m.media-amazon.com/images/I/61NZBbA4bjL.jpg
